NEIGHBORHOOD_DISTRICT_NAME,pathogen,epi_week,latent_field_mean,latent_field_0_025quant,latent_field_0_5quant,latent_field_0_975quant,latent_field_mode,latent_field_quintile
Ballard,h1n1pdm,2018_W47,0.001425616,0.000221449,0.001426468,0.009131689,0.001428301,2
Central,h1n1pdm,2018_W47,0.000711831,0.000112809,0.000712324,0.004466915,0.000713375,1
Delridge Neighborhoods,h1n1pdm,2018_W47,0.000444474,4.60E-05,0.000444721,0.004275214,0.000445263,1
Downtown,h1n1pdm,2018_W47,0.00042205,6.37E-05,0.000422369,0.002780382,0.000423047,1
East,h1n1pdm,2018_W47,0.000442494,5.96E-05,0.000442791,0.00326836,0.000443428,1
Greater Duwamish,h1n1pdm,2018_W47,0.000226283,2.96E-05,0.000226479,0.001717944,0.000226895,1
Lake Union,h1n1pdm,2018_W47,0.00071433,0.000110929,0.000714776,0.00457627,0.000715731,1
Magnolia/Queen Anne,h1n1pdm,2018_W47,0.00037058,4.89E-05,0.000370849,0.002793336,0.000371424,1
NA,h1n1pdm,2018_W47,6.48E-07,2.36E-56,6.47E-07,1.61E+43,6.48E-07,1
North,h1n1pdm,2018_W47,0.001566413,0.00028051,0.001567372,0.00870368,0.001569423,2
Northeast,h1n1pdm,2018_W47,0.00079896,0.000128208,0.000799484,0.00495256,0.000800604,1
Northwest,h1n1pdm,2018_W47,0.001583787,0.000230477,0.001584586,0.010833819,0.00158633,2
Southeast,h1n1pdm,2018_W47,0.001175434,0.000170517,0.001176064,0.008064377,0.001177431,2
Southwest,h1n1pdm,2018_W47,0.00141947,0.000182341,0.001420188,0.01099846,0.001421762,2
Ballard,h1n1pdm,2018_W48,0.00197903,0.00033318,0.001979797,0.011710766,0.001981493,2
Central,h1n1pdm,2018_W48,0.001012957,0.00017398,0.001013415,0.00587349,0.001014414,1
Delridge Neighborhoods,h1n1pdm,2018_W48,0.000636771,7.29E-05,0.000637017,0.005536343,0.000637575,1
