encountered_week,residence_neighborhood_district_name,pathogen,modeled_intensity_mean,modeled_intensity_sd,modeled_intensity_lower_95_CI,modeled_intensity_median,modeled_intensity_upper_95_CI,modeled_intensity_mode
2019-W04,Ballard,Flu_A_H1,Inf,Inf,4.4351789305799e-59,7.89611021219268e-06,1.27349992146611e+48,7.91002269244113e-06
2019-W05,Ballard,Flu_A_H1,Inf,Inf,1.32328715599231e-53,7.17745119537251e-06,3.56301037587482e+42,7.18878084150779e-06
2019-W06,Ballard,Flu_A_H1,Inf,Inf,1.28335163907814e-48,6.52358214969763e-06,3.0634479696743e+37,6.5327905356134e-06
2019-W07,Ballard,Flu_A_H1,Inf,Inf,2.5976979341561e-44,5.92866082685948e-06,1.26012260737045e+33,5.93617514829558e-06
2019-W08,Ballard,Flu_A_H1,Inf,Inf,6.10219410558461e-41,5.38727512374588e-06,4.45749318541408e+29,5.39349508290413e-06
2019-W09,Ballard,Flu_A_H1,Inf,Inf,8.4616907695896e-39,4.89455751548715e-06,2.66420604929855e+27,4.89985536254347e-06
2019-W10,Ballard,Flu_A_H1,4.34266667676296e+301,Inf,3.87615487774093e-38,4.4460782111364e-06,4.80526758822711e+26,4.45078693116631e-06
2019-W11,Ballard,Flu_A_H1,Inf,Inf,4.71391593634643e-39,4.03791107793832e-06,3.25381474439377e+27,4.04230317004875e-06
2019-W12,Ballard,Flu_A_H1,Inf,Inf,1.99192923030762e-41,3.66656740226361e-06,6.32160405042223e+29,3.67083776597364e-06
2019-W13,Ballard,Flu_A_H1,Inf,Inf,5.34985168012202e-45,3.32888729365202e-06,1.92749821954318e+33,3.33315336009236e-06
2019-W14,Ballard,Flu_A_H1,Inf,Inf,1.78941367376688e-49,3.02195394654733e-06,4.71008186780511e+37,3.02627143961887e-06
2019-W15,Ballard,Flu_A_H1,Inf,Inf,1.3206532502027e-54,2.74309298923498e-06,5.20897546855575e+42,2.74747636033161e-06
2019-W16,Ballard,Flu_A_H1,Inf,Inf,3.29802619023455e-60,2.48980540704881e-06,1.70080149022868e+48,2.4942449463103e-06
2019-W17,Ballard,Flu_A_H1,Inf,Inf,3.76958551542571e-66,2.25982029671542e-06,1.21247889588405e+54,2.26429393295805e-06
2019-W18,Ballard,Flu_A_H1,Inf,Inf,2.43206268704524e-72,2.05103522863147e-06,1.53050313690093e+60,2.05551582243546e-06
2019-W19,Ballard,Flu_A_H1,Inf,Inf,1.0248659869741e-78,1.8615205423593e-06,2.95682050542425e+66,1.86598013902132e-06
2019-W04,Central,Flu_A_H1,Inf,Inf,2.97398052306522e-58,6.3123653422553e-06,1.21583322034749e+47,6.32329494498925e-06
2019-W05,Central,Flu_A_H1,Inf,Inf,6.92715031520855e-53,5.76194143369216e-06,4.39308796143884e+41,5.77088174101761e-06
2019-W06,Central,Flu_A_H1,Inf,Inf,5.46560091785774e-48,5.25901793083978e-06,4.68099098580887e+36,5.26631566976603e-06
2019-W07,Central,Flu_A_H1,Inf,Inf,9.53817917210497e-44,4.79949350743416e-06,2.25186709020701e+32,4.80547241756338e-06
2019-W08,Central,Flu_A_H1,Inf,Inf,2.08898348040003e-40,4.37954239958361e-06,8.61517419953985e+28,4.38450838128857e-06
2019-W09,Central,Flu_A_H1,8.11077401833247e+302,Inf,2.97363462088649e-38,3.9957140042311e-06,5.05836517728938e+26,3.99995514562556e-06
2019-W10,Central,Flu_A_H1,3.36508815688992e+288,Inf,1.54724989575912e-37,3.6448534329371e-06,8.10061863989726e+25,3.64863074509304e-06
2019-W11,Central,Flu_A_H1,2.14580463383833e+303,Inf,2.32919990905177e-38,3.32416266694415e-06,4.46936820992583e+26,3.32769287229049e-06
2019-W12,Central,Flu_A_H1,Inf,Inf,1.29162409485684e-40,3.0311546689516e-06,6.67394744644407e+28,3.03459531708735e-06
2019-W13,Central,Flu_A_H1,Inf,Inf,4.70838081653838e-44,2.76357103401697e-06,1.51228473503272e+32,2.76701888216756e-06
2019-W14,Central,Flu_A_H1,Inf,Inf,2.17748412763891e-48,2.51931582223344e-06,2.69595129025274e+36,2.52281811994639e-06
2019-W15,Central,Flu_A_H1,Inf,Inf,2.24645863813512e-53,2.29645851434029e-06,2.15145807558855e+41,2.30002875883492e-06
2019-W16,Central,Flu_A_H1,Inf,Inf,7.89948062863724e-59,2.09318121228182e-06,5.03227528357379e+46,2.09681273768007e-06
2019-W17,Central,Flu_A_H1,Inf,Inf,1.27824184182093e-64,1.90782576629577e-06,2.55609452712026e+52,1.9115012848567e-06
2019-W18,Central,Flu_A_H1,Inf,Inf,1.17247730545627e-70,1.73884685602883e-06,2.28926028616984e+58,1.74254444340396e-06
2019-W19,Central,Flu_A_H1,Inf,Inf,7.0484257343913e-77,1.58481830590162e-06,3.12723314042666e+64,1.58851494651854e-06
2019-W04,Delridge Neighborhoods,Flu_A_H1,Inf,Inf,1.43068280310649e-58,6.88864142621341e-06,3.00791170866208e+47,6.90064955715173e-06
2019-W05,Delridge Neighborhoods,Flu_A_H1,Inf,Inf,3.66558654626232e-53,6.27795201881642e-06,9.84978206927132e+41,6.28775792592082e-06
2019-W06,Delridge Neighborhoods,Flu_A_H1,Inf,Inf,3.13166558854589e-48,5.72086112884291e-06,9.66249990683108e+36,5.72885236235928e-06
2019-W07,Delridge Neighborhoods,Flu_A_H1,Inf,Inf,5.78815590686675e-44,5.21266272146113e-06,4.37514776942437e+32,5.2191999188895e-06
2019-W08,Delridge Neighborhoods,Flu_A_H1,Inf,Inf,1.30307803914333e-40,4.74897876351541e-06,1.62322264468283e+29,4.75440140745405e-06
2019-W09,Delridge Neighborhoods,Flu_A_H1,4.30584963057185e+307,Inf,1.83777522210962e-38,4.3258647070562e-06,9.58884365806369e+26,4.3304911508127e-06
2019-W10,Delridge Neighborhoods,Flu_A_H1,3.33340817475758e+293,Inf,9.11327809554192e-38,3.93972045907249e-06,1.60606161950574e+26,3.94383773200147e-06
2019-W11,Delridge Neighborhoods,Flu_A_H1,Inf,Inf,1.26487362301527e-38,3.58735372971232e-06,9.57964174320274e+26,3.59119884065141e-06
2019-W12,Delridge Neighborhoods,Flu_A_H1,Inf,Inf,6.3224219466275e-41,3.26592711266594e-06,1.58181639533946e+29,3.26967128920608e-06
2019-W13,Delridge Neighborhoods,Flu_A_H1,Inf,Inf,2.05040496296372e-44,2.97286643794469e-06,4.01567456395126e+32,2.97661406947728e-06
2019-W14,Delridge Neighborhoods,Flu_A_H1,Inf,Inf,8.37543012389187e-49,2.70578765207561e-06,8.07835031324005e+36,2.70958915742504e-06
2019-W15,Delridge Neighborhoods,Flu_A_H1,Inf,Inf,7.59942801615338e-54,2.46249866573616e-06,7.30602890167623e+41,2.46636793721481e-06
2019-W16,Delridge Neighborhoods,Flu_A_H1,Inf,Inf,2.34355807409217e-59,2.24094146502696e-06,1.94216164233395e+47,2.24487074188085e-06
2019-W17,Delridge Neighborhoods,Flu_A_H1,Inf,Inf,3.31874582082628e-65,2.03924152482063e-06,1.12351930905151e+53,2.04321176395637e-06
2019-W18,Delridge Neighborhoods,Flu_A_H1,Inf,Inf,2.6597201963408e-71,1.85565634786784e-06,1.14787367435365e+59,1.85964369262575e-06
2019-W19,Delridge Neighborhoods,Flu_A_H1,Inf,Inf,1.39514005263653e-77,1.68858119619436e-06,1.7911434272209e+65,1.69256078554455e-06
2019-W04,Downtown,Flu_A_H1,0.102960028278998,0.154804768789077,0.00674594827269526,0.0570186909508641,0.481109996072122,0.0570204391507655
2019-W05,Downtown,Flu_A_H1,0.0606477925904631,0.0861575000465687,0.00443388934574568,0.0349095035419145,0.274397598140412,0.0349105367341456
2019-W06,Downtown,Flu_A_H1,0.0370312799728248,0.0524049734773802,0.00272739369551194,0.0213705416980312,0.167171696447332,0.0213711723898373
2019-W07,Downtown,Flu_A_H1,0.0234376940015652,0.0348465820292557,0.00156946403376694,0.0130806254601324,0.108833771620097,0.0130810221891723
2019-W08,Downtown,Flu_A_H1,0.0153760648814182,0.0252149393919667,0.000849534139397277,0.00800531170509708,0.0752992886146132,0.00800556781865248
2019-W09,Downtown,Flu_A_H1,0.0104559333362822,0.0197174222541798,0.000436581444129002,0.00489853154979338,0.0548555717014244,0.00489870031401847
2019-W10,Downtown,Flu_A_H1,0.00737003797342977,0.0165577490907661,0.000215205056684679,0.00299700376878987,0.0416486082225428,0.00299711666390586
2019-W11,Downtown,Flu_A_H1,0.00538487771764798,0.0148715389090873,0.00010270214361657,0.00183334046315102,0.0326510826433591,0.00183341677286425
2019-W12,Downtown,Flu_A_H1,0.00407848956667099,0.014262301471375,4.78123550379709e-05,0.00112134866186452,0.0262322340587544,0.00112140057896835
2019-W13,Downtown,Flu_A_H1,0.00320230456312902,0.014606306904373,2.1841026025471e-05,0.000685788791534675,0.0214732473406447,0.000685824234282673
2019-W14,Downtown,Flu_A_H1,0.00260667766184068,0.0159911062828557,9.83289318635159e-06,0.000419374025989083,0.0178320712346752,0.000419398248839229
2019-W15,Downtown,Flu_A_H1,0.0021998719658424,0.0187429650492776,4.37706190592487e-06,0.000256439868708422,0.0149745485555316,0.000256456412189133
2019-W16,Downtown,Flu_A_H1,0.00192491343939862,0.0235520360543099,1.93120627676824e-06,0.000156800797801347,0.0126857025606771,0.000156812075507311
2019-W17,Downtown,Flu_A_H1,0.00174642848402388,0.0317648500117932,8.46081325602839e-07,9.58736811115893e-05,0.0108220950443838,9.58813472156193e-05
2019-W18,Downtown,Flu_A_H1,0.00164298769986284,0.0460200621171144,3.68579600991198e-07,5.86198663428978e-05,0.00928449259879048,5.8625059366091e-05
2019-W19,Downtown,Flu_A_H1,0.00160279411623986,0.071656965403864,1.5982448985793e-07,3.58416878382392e-05,0.0080021399299722,3.58451923425343e-05
2019-W04,East,Flu_A_H1,0.0435674544015993,0.350500174960745,9.68086880606248e-05,0.00537411198482809,0.297362705230566,0.00537444398170831
2019-W05,East,Flu_A_H1,0.031264813111703,0.174738109602216,0.000141856890138099,0.00550657173659913,0.213121784963024,0.00550687335860741
2019-W06,East,Flu_A_H1,0.0235278340285095,0.0952539424425804,0.000204396596243374,0.00564184675019243,0.155312419357608,0.00564212040191705
2019-W07,East,Flu_A_H1,0.0185662149252109,0.0566742951093678,0.000287949538231734,0.00577995353271358,0.115739757329393,0.00578020217406212
2019-W08,East,Flu_A_H1,0.0153622771205653,0.0367800529276605,0.000393504726823728,0.00592080041696551,0.0888920371049383,0.00592102763322241
2019-W09,East,Flu_A_H1,0.0133277787896608,0.0260831639995747,0.000516128661828928,0.00606431490382016,0.0711122344206293,0.00606452505565447
2019-W10,East,Flu_A_H1,0.0121229487164064,0.0203235583734361,0.000641098721280996,0.00621037058673272,0.0600504693463021,0.00621056893252218
2019-W11,East,Flu_A_H1,0.0115609779392388,0.0175536269323071,0.000743154676320208,0.00635891699305199,0.0543171009093642,0.00635910964945023
2019-W12,East,Flu_A_H1,0.0115588542285705,0.0169588012328306,0.000794178789800736,0.00651000379942793,0.0532731706582095,0.00651019767241958
2019-W13,East,Flu_A_H1,0.0121164162467851,0.0183997071079843,0.000778633506198972,0.00666373665736811,0.056931389374158,0.00666393938900622
2019-W14,East,Flu_A_H1,0.0133164346279509,0.022330799422129,0.000703810939732245,0.00682032600080267,0.0659720473161698,0.00682054574865146
2019-W15,East,Flu_A_H1,0.0153453541645869,0.0300441792878661,0.000593757082510061,0.00698003178346921,0.0818924575997791,0.00698027681761973
2019-W16,East,Flu_A_H1,0.0185421096816574,0.0444172829741072,0.000474423496362739,0.00714303760881299,0.107312541451421,0.00714331591941726
2019-W17,East,Flu_A_H1,0.0234941012835402,0.0717656207296192,0.000363867145728506,0.00730959835029247,0.146485000391091,0.00730991740292085
2019-W18,East,Flu_A_H1,0.0312174667109875,0.126491055488467,0.000270740436384535,0.00747991387503091,0.206099144508252,0.00748028060333595
2019-W19,East,Flu_A_H1,0.0435006266693939,0.243368656452467,0.000196978919285528,0.00765415400026333,0.29654433119489,0.0076545749143509
2019-W04,Greater Duwamish,Flu_A_H1,0.0496197038300183,0.0758294061576863,0.00314958144567394,0.0271692850653153,0.233964025201942,0.0271701303827326
2019-W05,Greater Duwamish,Flu_A_H1,0.0324336246176071,0.0450764386470377,0.00247272296496665,0.0189428834166355,0.144878549500177,0.0189434367623522
2019-W06,Greater Duwamish,Flu_A_H1,0.0219948053956567,0.0292948573515732,0.0018176748254313,0.013205974089361,0.0957923112119588,0.0132063495273541
2019-W07,Greater Duwamish,Flu_A_H1,0.0154743637453006,0.020908763857218,0.00124459553537436,0.00920553910404788,0.0679782581665578,0.00920580253319772
2019-W08,Greater Duwamish,Flu_A_H1,0.0112941007185825,0.0163612551945522,0.000795250334086371,0.00641606583287727,0.0516777331962652,0.00641625628127876
2019-W09,Greater Duwamish,Flu_A_H1,0.0085512042109879,0.0139405856948526,0.000478003396907814,0.00447118543024521,0.0417477084190159,0.00447132673270287
2019-W10,Greater Duwamish,Flu_A_H1,0.00671641700054698,0.0128280900573133,0.000273287554345655,0.00311535110638612,0.0354440469436402,0.00311545817118596
2019-W11,Greater Duwamish,Flu_A_H1,0.00547255050862225,0.012667727721731,0.000150268730369742,0.00217031675443961,0.0312783370743863,0.00217039912179458
2019-W12,Greater Duwamish,Flu_A_H1,0.00462594062574717,0.0133781581598963,8.02132980425751e-05,0.00151174640710092,0.0284238898849638,0.00151181037205719
2019-W13,Greater Duwamish,Flu_A_H1,0.00405685964857689,0.0150956529044743,4.18716096736965e-05,0.00105289601910785,0.0264071076699207,0.0010529459182956
2019-W14,Greater Duwamish,Flu_A_H1,0.0036913143633404,0.0182124188008728,2.14906555830412e-05,0.000733250649793774,0.0249468499196947,0.000733289617943658
2019-W15,Greater Duwamish,Flu_A_H1,0.00348495723594774,0.0235283140773838,1.08886105584304e-05,0.000510612742867354,0.0238702527277686,0.000510643135668028
2019-W16,Greater Duwamish,Flu_A_H1,0.0034139577017362,0.032601599075781,5.46206072941759e-06,0.000355556929995978,0.0230669116320293,0.000355580572929015
2019-W17,Greater Duwamish,Flu_A_H1,0.00347045011081912,0.0485231322203582,2.7185786220025e-06,0.000247579587351308,0.0224643312296922,0.00024759791368917
2019-W18,Greater Duwamish,Flu_A_H1,0.00366099529227499,0.077660757327076,1.34470544264968e-06,0.000172391042900436,0.022013196929343,0.000172405190142049
2019-W19,Greater Duwamish,Flu_A_H1,0.0040078800235569,0.133758636919787,6.61817727888681e-07,0.000120036333174491,0.0216790706910727,0.000120047207799649
2019-W04,Lake Union,Flu_A_H1,0.160274336686685,0.243715453686117,0.0102727539872401,0.0880645777119613,0.753639498975697,0.0880672917567438
2019-W05,Lake Union,Flu_A_H1,120.5892232663,5084787.33549737,3.32121038866373e-07,0.00285985623476575,24.4467317232293,0.00286022802538027
2019-W06,Lake Union,Flu_A_H1,218281780201161,5.13091514498454e+32,1.33402320800857e-12,9.28624508911682e-05,6370.8386443372,9.2886511524914e-05
2019-W07,Lake Union,Flu_A_H1,9.5061898599304e+35,2.99718085341392e+77,4.9207760886699e-18,3.01508818028484e-06,1807454.23838889,3.01626228475643e-06
2019-W08,Lake Union,Flu_A_H1,9.96032165067253e+66,1.01351773454643e+141,1.77688647074104e-23,9.78848262869863e-08,523703828.334278,9.79357276080956e-08
2019-W09,Lake Union,Flu_A_H1,2.5108424449821e+107,1.98407806544842e+223,6.36170748795966e-29,3.17746055123027e-09,153007325327.31,3.17952819106261e-09
2019-W10,Lake Union,Flu_A_H1,1.52280591234363e+157,Inf,2.26779496245705e-34,1.03130164280742e-10,44885153227097.1,1.03210757383136e-10
2019-W11,Lake Union,Flu_A_H1,2.22206154103167e+216,Inf,8.06365781954879e-40,3.34680158861949e-12,13196891304044988,3.34985464825472e-12
2019-W12,Lake Union,Flu_A_H1,7.80135314617708e+284,Inf,2.86256314146443e-45,1.08597163125784e-13,3885383874069916672,1.08710429783709e-13
2019-W13,Lake Union,Flu_A_H1,Inf,Inf,1.01507658349504e-50,3.52338946987265e-15,1.14493937419016e+21,3.52752510913186e-15
2019-W14,Lake Union,Flu_A_H1,Inf,Inf,3.59667880799913e-56,1.14304964984945e-16,3.37595206238034e+23,1.14454080455227e-16
2019-W15,Lake Union,Flu_A_H1,Inf,Inf,1.27367050006884e-61,3.7080266777532e-18,9.95872952254672e+25,3.71334889009585e-18
2019-W16,Lake Union,Flu_A_H1,Inf,Inf,4.50843262235e-67,1.20281686535832e-19,2.93870665865744e+28,1.20470061380511e-19
2019-W17,Lake Union,Flu_A_H1,Inf,Inf,1.59534514177412e-72,3.90161702697752e-21,8.67410764593165e+30,3.90823776279614e-21
2019-W18,Lake Union,Flu_A_H1,Inf,Inf,5.64387231916813e-78,1.26556376330453e-22,2.56087496356833e+33,1.2678768919896e-22
2019-W19,Lake Union,Flu_A_H1,Inf,Inf,1.99625901769682e-83,4.10507946287577e-24,7.56190085113701e+35,4.11311963008769e-24
2019-W04,Magnolia/Queen Anne,Flu_A_H1,0.0309633909966893,0.13106602650261,0.00024569089398748,0.00711891634824126,0.205710382318493,0.00711927876383693
2019-W05,Magnolia/Queen Anne,Flu_A_H1,0.0218547290143623,0.0686727319043777,0.000319296463296087,0.00662762182659316,0.137232818531523,0.00662791773285656
2019-W06,Magnolia/Queen Anne,Flu_A_H1,0.0162221754441474,0.0394479029210525,0.000402405486203772,0.0061697348922619,0.0943872489949973,0.00616997774062128
2019-W07,Magnolia/Queen Anne,Flu_A_H1,0.0126625530365018,0.0248827246409332,0.000486309243692831,0.00574297882925803,0.0676859069257094,0.00574318069931862
2019-W08,Magnolia/Queen Anne,Flu_A_H1,0.0103933806295975,0.0173320560355104,0.000555448200732571,0.00534513674998079,0.0513431219370471,0.00534530829112616
2019-W09,Magnolia/Queen Anne,Flu_A_H1,0.00897005360674886,0.0134609418452363,0.000589921557847533,0.00497419022967309,0.041870188017886,0.00497434057422425
2019-W10,Magnolia/Queen Anne,Flu_A_H1,0.00813982691718584,0.0117764286356176,0.000574591681340297,0.0046282398589891,0.0372171254130789,0.00462837661914841
2019-W11,Magnolia/Queen Anne,Flu_A_H1,0.00776616074584532,0.0116582045544996,0.000510415661722437,0.00430559706192487,0.0362574520259785,0.00430572655511879
2019-W12,Magnolia/Queen Anne,Flu_A_H1,0.00779069499176614,0.0129997164694443,0.00041585080358546,0.00400482616611074,0.0384980014985139,0.00400495360104613
2019-W13,Magnolia/Queen Anne,Flu_A_H1,0.00821749488219961,0.0161608475661678,0.000315081543400649,0.00372459357436677,0.0439411589487546,0.00372472296524091
2019-W14,Magnolia/Queen Anne,Flu_A_H1,0.00911408667250782,0.0221832956464016,0.000225656177846189,0.00346361821404552,0.0530466213955361,0.00346375226835017
2019-W15,Magnolia/Queen Anne,Flu_A_H1,0.0106296611028886,0.0334332520629942,0.00015498953309072,0.00322069816895688,0.0667629903652883,0.00322083839519139
2019-W16,Magnolia/Queen Anne,Flu_A_H1,0.0130369770222575,0.0552378561324448,0.000103245049632656,0.00299464996152292,0.0866249543381891,0.00299479697165701
2019-W17,Magnolia/Queen Anne,Flu_A_H1,0.0168154933020431,0.100150567152307,6.72519620106218e-05,0.00278438244134565,0.11493351815324,0.0027845362147936
2019-W18,Magnolia/Queen Anne,Flu_A_H1,0.0228106901990303,0.199690118658814,4.30857799326647e-05,0.00258883957204031,0.15503785693336,0.00258899969157141
2019-W19,Magnolia/Queen Anne,Flu_A_H1,0.0325448383967491,0.438827575138416,2.72610695839993e-05,0.00240701753265032,0.211758010637923,0.0024071833509706
2019-W04,North,Flu_A_H1,0.0338290525283799,0.0403891503931883,0.00342217366325531,0.0217217256512001,0.137668348190136,0.0217223771892007
2019-W05,North,Flu_A_H1,0.0300126213308375,0.0314253549143008,0.00382815033062649,0.0207286571493917,0.112088188700766,0.0207291888109482
2019-W06,North,Flu_A_H1,0.0269520888361529,0.0249476098585468,0.00422138117460265,0.0197793196492787,0.0925607950195421,0.0197797639319737
2019-W07,North,Flu_A_H1,0.0244985807555732,0.0202790969081628,0.00456926289297166,0.018871899012639,0.0778554502906812,0.01887227883313
2019-W08,North,Flu_A_H1,0.0225385638934786,0.0169732106809407,0.0048292619245709,0.0180042490732231,0.0670516623927528,0.0180045796298546
2019-W09,North,Flu_A_H1,0.02098590947164,0.0147367536282357,0.00495488480490209,0.0171743849052162,0.0594696096632214,0.0171746772375298
2019-W10,North,Flu_A_H1,0.0197753078452838,0.0133755613199188,0.00490895356273964,0.0163802716993053,0.0546051155236263,0.0163805367820861
2019-W11,North,Flu_A_H1,0.0188584410166853,0.0127563406231682,0.00468090678161959,0.0156204568135913,0.0520760156383017,0.015620707178514
2019-W12,North,Flu_A_H1,0.018200277852363,0.0127830899726888,0.00429606236982617,0.0148937388916792,0.0515826555409024,0.0148939869029566
2019-W13,North,Flu_A_H1,0.017776586190038,0.0133904397828711,0.00380757616802669,0.0141990008645206,0.0528941701679011,0.0141992559931686
2019-W14,North,Flu_A_H1,0.0175722053874897,0.0145490497772275,0.00327626908672838,0.0135350545205218,0.0558527877246751,0.0135353225727186
2019-W15,North,Flu_A_H1,0.017580551265827,0.0162753868353139,0.00275292549934099,0.0129009784951755,0.0603824064769323,0.0129012628994144
2019-W16,North,Flu_A_H1,0.0178025979967041,0.0186405641296355,0.0022707549968638,0.0122956342616544,0.0664874418257644,0.0122959381254542
2019-W17,North,Flu_A_H1,0.0182476564932621,0.021782101193672,0.00184658892000599,0.0117181727835387,0.074250697655524,0.0117184999798806
2019-W18,North,Flu_A_H1,0.0189333600768404,0.0259209418778368,0.00148534760284227,0.0111675869955582,0.0838262056451542,0.0111679423546378
2019-W19,North,Flu_A_H1,0.0198868586465563,0.0313908283713956,0.00118473340940381,0.0106427970224263,0.0954364534861775,0.0106431858846046
2019-W04,Northeast,Flu_A_H1,0.0592965099178909,0.0482540757281184,0.0113465699150924,0.045992116691135,0.186213419133826,0.0459930793963734
2019-W05,Northeast,Flu_A_H1,0.0461808688454272,0.035239154731813,0.00971042967399004,0.0367131264253182,0.1386559922048,0.0367138310325662
2019-W06,Northeast,Flu_A_H1,0.0362610936939445,0.026429698675252,0.00813474697800127,0.0293033457481988,0.105448866643541,0.0293038830520083
2019-W07,Northeast,Flu_A_H1,0.0287035950289437,0.0204273342651103,0.00665498101784345,0.0233860321072838,0.0820969024741997,0.0233864484583837
2019-W08,Northeast,Flu_A_H1,0.0229044440358641,0.0163022116612679,0.00530958196498429,0.0186604765208723,0.0655158185132762,0.0186608021965762
2019-W09,Northeast,Flu_A_H1,0.0184233754789686,0.013432203316725,0.00413139619651974,0.0148868061707679,0.0535869587492125,0.0148870659761872
2019-W10,Northeast,Flu_A_H1,0.0149370726380589,0.0114013913937638,0.00313948048558084,0.0118734599198977,0.0448572851566258,0.0118736736258669
