NEIGHBORHOOD_DISTRICT_NAME,pathogen,epi_week,latent_field_mean,latent_field_0_025quant,latent_field_0_5quant,latent_field_0_975quant,latent_field_mode,latent_field_quintile
Ballard,h3n2,2019_W02,0.003459848,0.000608262,0.003466711,0.019434848,0.003480894,2
Central,h3n2,2019_W02,0.003093578,0.000553363,0.003099663,0.017081076,0.00311223,2
Delridge Neighborhoods,h3n2,2019_W02,0.00445176,0.000629395,0.004459324,0.031137898,0.004475024,2
Downtown,h3n2,2019_W02,0.006120269,0.001209767,0.006132773,0.030570349,0.006158552,2
East,h3n2,2019_W02,0.005790511,0.000902524,0.005799875,0.036758211,0.005819272,2
Greater Duwamish,h3n2,2019_W02,0.001161772,0.000168754,0.001163832,0.007906279,0.001168107,1
Lake Union,h3n2,2019_W02,0.003403837,0.000646982,0.003410793,0.017680311,0.003425145,2
Magnolia/Queen Anne,h3n2,2019_W02,0.004464402,0.000793984,0.004473209,0.024791525,0.004491408,2
NA,h3n2,2019_W02,1.57E-06,1.01E-57,1.57E-06,2.23E+45,1.57E-06,1
North,h3n2,2019_W02,0.005935504,0.001281065,0.005947327,0.027161871,0.005971664,2
Northeast,h3n2,2019_W02,0.00453216,0.000888849,0.004541131,0.022823953,0.004559628,2
Northwest,h3n2,2019_W02,0.008945585,0.001488561,0.008960875,0.053166382,0.008992499,2
Southeast,h3n2,2019_W02,0.002821659,0.000438479,0.002826799,0.017945453,0.00283744,2
Southwest,h3n2,2019_W02,0.004075729,0.000545146,0.004082446,0.030140268,0.004096401,2
Ballard,h3n2,2019_W03,0.006427843,0.001267589,0.006434808,0.032352599,0.006449361,2
Central,h3n2,2019_W03,0.005558048,0.001116697,0.005564053,0.027458744,0.00557659,2
Delridge Neighborhoods,h3n2,2019_W03,0.0082287,0.00132195,0.008236621,0.050864149,0.008253292,2
Downtown,h3n2,2019_W03,0.010796335,0.002374355,0.010808081,0.048729968,0.010832556,2
East,h3n2,2019_W03,0.009556367,0.001697085,0.009565182,0.05345395,0.009583695,2
Greater Duwamish,h3n2,2019_W03,0.002298011,0.000378611,0.00230029,0.013848928,0.002305082,2
Lake Union,h3n2,2019_W03,0.006097579,0.001295902,0.006104325,0.028475722,0.006118387,2
Magnolia/Queen Anne,h3n2,2019_W03,0.008212707,0.001634502,0.008221502,0.040961721,0.00823988,2
NA,h3n2,2019_W03,3.20E-06,4.19E-54,3.20E-06,2.23E+42,3.20E-06,1
